"asset_id","final_usage","relative_path","master_path","category","variant","duration_seconds","loop","loop_start_seconds","loop_end_seconds","channels","sample_rate_hz","runtime_codec","master_format","target_lufs","suggested_gain_db","suggested_max_distance_m","runtime_fade_in_ms","runtime_fade_out_ms","fade_mode","source_title","source_author","source_url","license","review_pack","review_source_file","source_sha256","runtime_sha256","trim_applied","playback_rule","version","acceptance_status","build_date"
"sfx_ui_button_primary","ui_button_primary","assets/audio/ui/sfx_ui_button_primary_v01.wav","art_source/audio/masters/ui/sfx_ui_button_primary_v01.wav","ui_wood_click","01","0.086","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-18.0","0.0","","0","0","none","Wooden Click","BenjaminNelan","https://freesound.org/s/321083/","CC0","sample_pack_v1","01_ui_wood_click_short_321083.mp3","c7d729b995f891f342fdaf5dd4a81c2927cd89a0604565a2636ee3e16f67009e","8fa8b5c10b6fe9b882ad0060da473ba926c12b5392e4fa2b8375dfd3737caa0e","full_source","完整单次播放；不剪辑","v01","confirmed","2026-09-01"
"sfx_work_blacksmith_loop","work_blacksmith_loop","assets/audio/work/blacksmith/sfx_work_blacksmith_loop_v01.ogg","art_source/audio/masters/work/blacksmith/sfx_work_blacksmith_loop_v01.wav","blacksmith","01","5.000","true","0.000","5.000","1","48000","vorbis_q5","wav_pcm_s24le_48khz","-20.0","0.0","28","350","350","runtime_start_stop","Hammering on Anvil","SamsterBirdies","https://freesound.org/s/363169/","CC0","sample_pack_v1","04_blacksmith_hammer_anvil_363169.mp3","627c31bd0eccbc799aec7106b009e333ff4062adf497543aecf5371590075b13","ec0f943ef2aba1367e984d4bfbe694c9ccf09358fd0e1c8c5137af856e29041f","00:00-00:05","后续截取 00:00–00:05 并循环；工作开始渐入、工作结束渐出","v01","confirmed","2026-09-01"
"sfx_ambience_day_loop","ambience_day_loop","assets/audio/ambience/time_of_day/sfx_ambience_day_loop_v01.ogg","art_source/audio/masters/ambience/time_of_day/sfx_ambience_day_loop_v01.wav","ambience_day","01","193.567","true","0.000","193.567","1","48000","vorbis_q5","wav_pcm_s24le_48khz","-23.0","0.0","45","1000","1000","runtime_start_stop","Loopable Early Morning English Countryside Ambience","Psykophobia","https://freesound.org/s/641561/","CC0","sample_pack_v1","08_day_english_countryside_641561.mp3","9b84281978222f09e900e91bc50180855fd54ea53355d1bf9764ec87269dbee9","05173b0fc0bed651abf7388b468efcdd86b2aedb49d5aed30bf8a5070f44957b","full_source","完整循环播放；不剪辑","v01","confirmed","2026-09-01"
"sfx_ambience_night_loop","ambience_night_loop","assets/audio/ambience/time_of_day/sfx_ambience_night_loop_v01.ogg","art_source/audio/masters/ambience/time_of_day/sfx_ambience_night_loop_v01.wav","ambience_night","01","337.375","true","0.000","337.375","1","48000","vorbis_q5","wav_pcm_s24le_48khz","-23.0","0.0","45","1000","1000","runtime_start_stop","Night Ambience","parret","https://freesound.org/s/481883/","CC0","sample_pack_v1","09_night_insects_481883.mp3","3833d883d8bc6c98a33949c5f7d3e2bd938d6b888768de18e8c8197a4df7831a","8cdb3237ec4d3397d98eb92eacf614a49994a5d268f74a98349868c5635d3f04","full_source","完整循环播放；不剪辑","v01","confirmed","2026-09-01"
"sfx_meteor_impact_one_shot","meteor_impact_one_shot","assets/audio/abilities/meteor/sfx_meteor_impact_one_shot_v01.wav","art_source/audio/masters/abilities/meteor/sfx_meteor_impact_one_shot_v01.wav","meteor_impact","01","12.048","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-16.0","0.0","120","0","0","none","HUGE EXPLOSION","SamsterBirdies","https://freesound.org/s/733120/","CC0","sample_pack_v1","12_meteor_impact_huge_explosion_733120.mp3","72b4377ec3b875653d94f673011930f94d5ee68b455c0e717c810cddf3df097a","94776a863813f4bb0c52ee7039616852a83b3d8f82f0a1f6e97021d47cf4ded0","full_source","完整单次播放；从爆发到自然渐弱，不剪辑","v01","confirmed","2026-09-01"
"voice_combat_friendly_female_hurt_voice","combat_friendly_female_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_friendly_female_hurt_voice_v01.wav","art_source/audio/masters/voice/combat_grunts/voice_combat_friendly_female_hurt_voice_v01.wav","combat_friendly_female_hurt_voice","01","0.406","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-18.0","0.0","40","0","0","none","grunt.wav","Reitanna","https://freesound.org/s/242623/","CC0","sample_pack_v10","03_female_grunt_short_242623.mp3","55f44ee3fc567afe82b1e14dc59f14921e57992bc43ae8b3a66c2e1603d589b8","83cc0b2eef1735d768c1bce07f45af89a0119b03b988988db75a0415837fc7ee","full_source","整段单次播放；我方女性 NPC 受击时约 50% 概率从受击者位置附加播放；与必播命中声分层","v01","confirmed","2026-09-01"
"sfx_combat_sword_swing","combat_sword_swing","assets/audio/combat/weapons/sfx_combat_sword_swing_v01.wav","art_source/audio/masters/combat/weapons/sfx_combat_sword_swing_v01.wav","combat_sword_swing","01","0.416","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-16.0","0.0","40","0","0","none","Swosh Sword Swing","qubodup","https://freesound.org/s/59992/","CC0","sample_pack_v10","06_sword_swing_bamboo_59992.mp3","9503cb8193bcaa66f594a0f6c764359527cabbe4020f15b058ee98509e38cfb5","b9bf873e6d073cd6ff8a617d7f4fb4026f10df60f851b3dc054a0cd9e17bf9a9","full_source","整段单次播放；绑定挥剑攻击动作的实际挥动点，从攻击者位置发声","v01","confirmed","2026-09-01"
"sfx_combat_polearm_swing","combat_polearm_swing","assets/audio/combat/weapons/sfx_combat_polearm_swing_v01.wav","art_source/audio/masters/combat/weapons/sfx_combat_polearm_swing_v01.wav","combat_polearm_swing","01","0.491","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-16.0","0.0","40","0","0","none","Stick-Swoosh Whoosh","Hitrison","https://freesound.org/s/216675/","CC-BY 4.0","sample_pack_v10","12_polearm_thick_rod_216675.mp3","3ac459eab8732a53eeec34388d3eee6b1e00494f861c370f9b999c60eb864e16","ea8e0429833e69850bbad0445e00fd4c0f4b09795bb32f30877f6d8a7a027821","full_source","整段单次播放；绑定长杆挥刺攻击动作的实际挥动点，从攻击者位置发声","v01","confirmed","2026-09-01"
"sfx_combat_bow_release","combat_bow_release","assets/audio/combat/weapons/sfx_combat_bow_release_v01.wav","art_source/audio/masters/combat/weapons/sfx_combat_bow_release_v01.wav","combat_bow_release","01","0.750","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-16.0","0.0","40","0","0","none","Bow Release (Bow and Arrow)","Ali_6868","https://freesound.org/s/384915/","CC0","sample_pack_v11","01_bow_release_384915.mp3","ece6c098cb7a03438b494a3f3e2bdd8b629fe26555d5b39f1933d78731b13fbf","9eb3b0ecb61a074380f892bd07bd1abe5cfb5e9075c3fc3c9ebeca14be2edb31","full_source","整段单次播放；弓释放瞬间从射手位置发声","v01","confirmed","2026-09-01"
"sfx_combat_hand_crossbow_release","combat_hand_crossbow_release","assets/audio/combat/weapons/sfx_combat_hand_crossbow_release_v01.wav","art_source/audio/masters/combat/weapons/sfx_combat_hand_crossbow_release_v01.wav","combat_crossbow_release","01","0.296","false","","","1","48000","pcm_s16le","wav_pcm_s24le_48khz","-16.0","0.0","40","0","0","none","Longbow Release 2.wav","saturdaysoundguy","https://freesound.org/s/394179/","CC0","sample_pack_v11","02_longbow_release_394179.mp3","9d1c74b7adb869212bd7bc87d226ae74c8bd4a5b73dc7707b979b850c94b8a70","0a657500e94d24e43871039e64b61108515fe12c5243842e309b90b0b8d04023","full_source","整段单次播放；手弩释放瞬间从射手位置发声；按用户试听判断跨组复用","v01","confirmed","2026-09-01"
