file,category,source_title,author,source_url,license,decision,final_usage,edit_instruction,review_note
day/01_day_natural_open_air.mp3,ambience_day_candidate,Wind Loop,AntumDeluge / InspectorJ,https://opengameart.org/content/wind-loop,CC-BY-3.0,rejected,,"不采用","用户否决纯风底噪方向"
day/02_day_soft_air.mp3,ambience_day_candidate,wind1,Luke.RUSTLTD,https://opengameart.org/content/wind1,CC0,rejected,,"不采用","用户否决纯风底噪方向"
day/03_day_light_breeze.mp3,ambience_day_candidate,wind3,Luke.RUSTLTD,https://opengameart.org/content/wind1,CC0,rejected,,"不采用","用户否决纯风底噪方向"
day/04_day_short_wind_loop.mp3,ambience_day_candidate,Wind,IgnasD,https://opengameart.org/content/wind,CC0,rejected,,"不采用","用户否决纯风底噪方向"
day/05_day_short_air_loop.mp3,ambience_day_candidate,Wind2,IgnasD,https://opengameart.org/content/wind,CC0,rejected,,"不采用","用户否决纯风底噪方向"
night/01_night_soft_air.mp3,ambience_night_candidate,wind2,Luke.RUSTLTD,https://opengameart.org/content/wind1,CC0,rejected,,"不采用","用户否决纯风底噪方向"
night/02_night_low_breeze.mp3,ambience_night_candidate,wind4,Luke.RUSTLTD,https://opengameart.org/content/wind1,CC0,rejected,,"不采用","用户否决纯风底噪方向"
night/03_night_dark_air.mp3,ambience_night_candidate,wind5,Luke.RUSTLTD,https://opengameart.org/content/wind1,CC0,rejected,,"不采用","用户否决纯风底噪方向"
night/04_night_whoosh.mp3,ambience_night_candidate,wind whoosh loop,SketchMan3,https://opengameart.org/content/wind-whoosh-loop,CC0,rejected,,"不采用","用户否决纯风底噪方向"
night/05_night_cold_wind.mp3,ambience_night_candidate,Icy Heights wind,Écrivain,https://opengameart.org/content/icy-heights,CC0,rejected,,"不采用","用户否决纯风底噪方向"
